rd_ad,room_id,uid,score,dt
aa3f1d75c5685c14385d46ce87ada463,fr:5320990,9318321,4500.0,20180801
aa3f1d75c5685c14385d46ce87ada463,fr:5320990,72995150,2900.0,20180801
aa3f1d75c5685c14385d46ce87ada463,fr:5320990,69919103,4100.0,20180801
aa3f1d75c5685c14385d46ce87ada463,fr:5320990,45571364,500.0,20180801
aa3f1d75c5685c14385d46ce87ada463,fr:5320990,177045539,5500.0,20180801
aa3f1d75c5685c14385d46ce87ada463,fr:5320990,148114155,3100.0,20180801
aa3f1d75c5685c14385d46ce87ada463,fr:5320990,131506537,4000.0,20180801
aa3f1d75c5685c14385d46ce87ada463,fr:5320990,180399342,1700.0,20180801
aa3f1d75c5685c14385d46ce87ada463,fr:5320990,41914406,4700.0,20180801
aa3f1d75c5685c14385d46ce87ada463,fr:5320990,48316855,100.0,20180801
aa3f1d75c5685c14385d46ce87ada463,fr:5320990,176855516,3100.0,20180801
aa3f1d75c5685c14385d46ce87ada463,fr:5320990,140043656,1500.0,20180801
aa3f1d75c5685c14385d46ce87ada463,fr:5320990,188311754,2400.0,20180801
aa3f1d75c5685c14385d46ce87ada463,fr:5320990,168588355,5200.0,20180801
aa3f1d75c5685c14385d46ce87ada463,fr:5320990,28186745,5100.0,20180801
aa3f1d75c5685c14385d46ce87ada463,fr:5320990,201392308,5000.0,20180801
aa3f1d75c5685c14385d46ce87ada463,fr:5320990,98704684,3500.0,20180801
aa3f1d75c5685c14385d46ce87ada463,fr:5320990,213381314,4000.0,20180801
aa3f1d75c5685c14385d46ce87ada463,fr:5320990,50558166,2000.0,20180801
aa3f1d75c5685c14385d46ce87ada463,fr:5320990,43958582,3000.0,20180801
aa3f1d75c5685c14385d46ce87ada463,fr:5320990,205476615,4800.0,20180801
aa3f1d75c5685c14385d46ce87ada463,fr:5320990,211499978,100.0,20180801
aa3f1d75c5685c14385d46ce87ada463,fr:5320990,62225081,3500.0,20180801
aa3f1d75c5685c14385d46ce87ada463,fr:5320990,4992829,1200.0,20180801
aa3f1d75c5685c14385d46ce87ada463,fr:5320990,104715249,4500.0,20180801
aa3f1d75c5685c14385d46ce87ada463,fr:5320990,39124893,1000.0,20180801
aa3f1d75c5685c14385d46ce87ada463,fr:5320990,169880052,4900.0,20180801
aa3f1d75c5685c14385d46ce87ada463,fr:5320990,17398464,5300.0,20180801
aa3f1d75c5685c14385d46ce87ada463,fr:5320990,13694730,4700.0,20180801
aa3f1d75c5685c14385d46ce87ada463,fr:5320990,212180362,4000.0,20180801
aa3f1d75c5685c14385d46ce87ada463,fr:5320990,96192851,2000.0,20180801
aa3f1d75c5685c14385d46ce87ada463,fr:5320990,66115458,2000.0,20180801
aa3f1d75c5685c14385d46ce87ada463,fr:5320990,79703873,5600.0,20180801
aa3f1d75c5685c14385d46ce87ada463,fr:5320990,48760341,3700.0,20180801
aa3f1d75c5685c14385d46ce87ada463,fr:5320990,178407762,1100.0,20180801
aa3f1d75c5685c14385d46ce87ada463,fr:5320990,24364964,5800.0,20180801
aa3f1d75c5685c14385d46ce87ada463,fr:5320990,63459454,5500.0,20180801
aa3f1d75c5685c14385d46ce87ada463,fr:5320990,211494162,2700.0,20180801
aa3f1d75c5685c14385d46ce87ada463,fr:5320990,19036078,2700.0,20180801
aa3f1d75c5685c14385d46ce87ada463,fr:5320990,23443358,4500.0,20180801
